key_date,year,month,day,hour,minute,number_people,day_of_week,is_weekend,is_holiday,is_start_of_semester,is_during_semester,temp_f,rain_mm,encoded_weather_code,weather_type
2015-08-14,2015,8,14,17,0,37,Friday,False,False,False,False,80.6576,0.0,0,Clear sky
2015-08-14,2015,8,14,17,20,45,Friday,False,False,False,False,80.6576,0.0,0,Clear sky
2015-08-14,2015,8,14,17,30,40,Friday,False,False,False,False,80.6576,0.0,0,Clear sky
2015-08-14,2015,8,14,17,40,44,Friday,False,False,False,False,80.6576,0.0,0,Clear sky
2015-08-14,2015,8,14,17,50,45,Friday,False,False,False,False,80.6576,0.0,0,Clear sky
2015-08-14,2015,8,14,18,0,46,Friday,False,False,False,False,78.9476,0.0,0,Clear sky
2015-08-14,2015,8,14,18,20,43,Friday,False,False,False,False,78.9476,0.0,0,Clear sky
2015-08-14,2015,8,14,18,30,53,Friday,False,False,False,False,78.9476,0.0,0,Clear sky
2015-08-14,2015,8,14,18,40,54,Friday,False,False,False,False,78.9476,0.0,0,Clear sky
2015-08-14,2015,8,14,18,50,43,Friday,False,False,False,False,78.9476,0.0,0,Clear sky
2015-08-14,2015,8,14,19,0,39,Friday,False,False,False,False,75.9776,0.0,0,Clear sky
2015-08-14,2015,8,14,19,20,38,Friday,False,False,False,False,75.9776,0.0,0,Clear sky
2015-08-14,2015,8,14,19,30,45,Friday,False,False,False,False,75.9776,0.0,0,Clear sky
2015-08-14,2015,8,14,19,40,41,Friday,False,False,False,False,75.9776,0.0,0,Clear sky
2015-08-14,2015,8,14,19,50,36,Friday,False,False,False,False,75.9776,0.0,0,Clear sky
2015-08-14,2015,8,14,20,0,42,Friday,False,False,False,False,72.2876,0.0,0,Clear sky
2015-08-14,2015,8,14,20,20,35,Friday,False,False,False,False,72.2876,0.0,0,Clear sky
2015-08-14,2015,8,14,20,30,36,Friday,False,False,False,False,72.2876,0.0,0,Clear sky
2015-08-14,2015,8,14,20,40,48,Friday,False,False,False,False,72.2876,0.0,0,Clear sky
2015-08-14,2015,8,14,20,50,40,Friday,False,False,False,False,72.2876,0.0,0,Clear sky
2015-08-14,2015,8,14,21,0,49,Friday,False,False,False,False,69.6776,0.0,0,Clear sky
2015-08-14,2015,8,14,21,20,37,Friday,False,False,False,False,69.6776,0.0,0,Clear sky
2015-08-14,2015,8,14,21,30,48,Friday,False,False,False,False,69.6776,0.0,0,Clear sky
2015-08-14,2015,8,14,21,40,45,Friday,False,False,False,False,69.6776,0.0,0,Clear sky
2015-08-14,2015,8,14,21,50,45,Friday,False,False,False,False,69.6776,0.0,0,Clear sky
2015-08-14,2015,8,14,22,0,38,Friday,False,False,False,False,68.0576,0.0,1,Mainly clear
2015-08-14,2015,8,14,22,20,41,Friday,False,False,False,False,68.0576,0.0,1,Mainly clear
2015-08-14,2015,8,14,22,30,41,Friday,False,False,False,False,68.0576,0.0,1,Mainly clear
2015-08-14,2015,8,14,22,40,37,Friday,False,False,False,False,68.0576,0.0,1,Mainly clear
2015-08-14,2015,8,14,22,50,33,Friday,False,False,False,False,68.0576,0.0,1,Mainly clear
2015-08-14,2015,8,14,23,0,22,Friday,False,False,False,False,66.4376,0.0,1,Mainly clear
2015-08-14,2015,8,14,23,20,2,Friday,False,False,False,False,66.4376,0.0,1,Mainly clear
2015-08-14,2015,8,14,23,30,1,Friday,False,False,False,False,66.4376,0.0,1,Mainly clear
2015-08-14,2015,8,14,23,40,0,Friday,False,False,False,False,66.4376,0.0,1,Mainly clear
2015-08-14,2015,8,14,23,50,0,Friday,False,False,False,False,66.4376,0.0,1,Mainly clear
2015-08-15,2015,8,15,0,0,0,Saturday,True,False,False,False,64.7276,0.0,0,Clear sky
2015-08-15,2015,8,15,0,20,1,Saturday,True,False,False,False,64.7276,0.0,0,Clear sky
2015-08-15,2015,8,15,0,30,0,Saturday,True,False,False,False,64.7276,0.0,0,Clear sky
2015-08-15,2015,8,15,0,40,0,Saturday,True,False,False,False,64.7276,0.0,0,Clear sky
2015-08-15,2015,8,15,0,50,0,Saturday,True,False,False,False,64.7276,0.0,0,Clear sky
2015-08-15,2015,8,15,1,0,0,Saturday,True,False,False,False,63.467598,0.0,0,Clear sky
2015-08-15,2015,8,15,5,20,0,Saturday,True,False,False,False,59.5976,0.0,3,Overcast
2015-08-15,2015,8,15,5,30,1,Saturday,True,False,False,False,59.5976,0.0,3,Overcast
2015-08-15,2015,8,15,5,40,0,Saturday,True,False,False,False,59.5976,0.0,3,Overcast
2015-08-15,2015,8,15,5,50,1,Saturday,True,False,False,False,59.5976,0.0,3,Overcast
2015-08-15,2015,8,15,6,0,1,Saturday,True,False,False,False,59.8676,0.0,3,Overcast
2015-08-15,2015,8,15,6,20,0,Saturday,True,False,False,False,59.8676,0.0,3,Overcast
2015-08-15,2015,8,15,6,30,0,Saturday,True,False,False,False,59.8676,0.0,3,Overcast
2015-08-15,2015,8,15,6,40,0,Saturday,True,False,False,False,59.8676,0.0,3,Overcast
2015-08-15,2015,8,15,6,50,0,Saturday,True,False,False,False,59.8676,0.0,3,Overcast
2015-08-15,2015,8,15,7,0,0,Saturday,True,False,False,False,60.0476,0.0,3,Overcast
2015-08-15,2015,8,15,7,20,0,Saturday,True,False,False,False,60.0476,0.0,3,Overcast
2015-08-15,2015,8,15,7,30,0,Saturday,True,False,False,False,60.0476,0.0,3,Overcast
2015-08-15,2015,8,15,7,40,3,Saturday,True,False,False,False,60.0476,0.0,3,Overcast
2015-08-15,2015,8,15,7,50,2,Saturday,True,False,False,False,60.0476,0.0,3,Overcast
2015-08-15,2015,8,15,8,0,6,Saturday,True,False,False,False,62.567596,0.0,3,Overcast
2015-08-15,2015,8,15,8,20,15,Saturday,True,False,False,False,62.567596,0.0,3,Overcast
2015-08-15,2015,8,15,8,30,22,Saturday,True,False,False,False,62.567596,0.0,3,Overcast
2015-08-15,2015,8,15,8,40,18,Saturday,True,False,False,False,62.567596,0.0,3,Overcast
2015-08-15,2015,8,15,8,50,21,Saturday,True,False,False,False,62.567596,0.0,3,Overcast
2015-08-15,2015,8,15,9,0,26,Saturday,True,False,False,False,70.3976,0.0,3,Overcast
2015-08-15,2015,8,15,9,20,23,Saturday,True,False,False,False,70.3976,0.0,3,Overcast
2015-08-15,2015,8,15,9,30,23,Saturday,True,False,False,False,70.3976,0.0,3,Overcast
2015-08-15,2015,8,15,9,40,28,Saturday,True,False,False,False,70.3976,0.0,3,Overcast
2015-08-15,2015,8,15,9,50,23,Saturday,True,False,False,False,70.3976,0.0,3,Overcast
2015-08-15,2015,8,15,10,0,22,Saturday,True,False,False,False,78.76759,0.0,3,Overcast
2015-08-15,2015,8,15,10,20,30,Saturday,True,False,False,False,78.76759,0.0,3,Overcast
2015-08-15,2015,8,15,10,30,32,Saturday,True,False,False,False,78.76759,0.0,3,Overcast
2015-08-15,2015,8,15,10,40,36,Saturday,True,False,False,False,78.76759,0.0,3,Overcast
2015-08-15,2015,8,15,10,50,29,Saturday,True,False,False,False,78.76759,0.0,3,Overcast
2015-08-15,2015,8,15,11,0,34,Saturday,True,False,False,False,84.79759,0.0,3,Overcast
2015-08-15,2015,8,15,11,20,36,Saturday,True,False,False,False,84.79759,0.0,3,Overcast
2015-08-15,2015,8,15,11,30,32,Saturday,True,False,False,False,84.79759,0.0,3,Overcast
2015-08-15,2015,8,15,11,40,27,Saturday,True,False,False,False,84.79759,0.0,3,Overcast
2015-08-15,2015,8,15,11,50,26,Saturday,True,False,False,False,84.79759,0.0,3,Overcast
